	1078                     	1                        	0.0422                   	8                        
	1092                     	1                        	0.0417                   	6                        
	1093                     	3                        	0.038                    	6,9,14                   
	1122                     	1                        	0.023                    	14                       
	1137                     	10                       	0.0217                   	1,3,6,7,8,12,13,14,17,18 
	1144                     	2                        	0.0199                   	12,20                    
	1153                     	2                        	0.0629                   	2,10                     
	1155                     	2                        	0.0188                   	2,10                     
	1159                     	7                        	0.0254                   	1,5,12,13,14,15,18       
	1164                     	2                        	0.0081                   	15,17                    
	1166                     	1                        	0.0346                   	2                        
	1183                     	4                        	0.0229                   	1,13,15,18               
	1186                     	2                        	0.074                    	2,10                     
	1193                     	7                        	0.0258                   	1,5,6,8,16,19,20         
	1201                     	1                        	0.0033                   	18                       
	1219                     	1                        	0.0229                   	12                       
	1220                     	3                        	0.0746                   	12,14,15                 
	1223                     	1                        	0.0139                   	2                        
	1225                     	1                        	0.0996                   	17                       
	1230                     	2                        	0.044                    	2,16                     
	1234                     	4                        	0.0336                   	4,6,16,18                
	1248                     	1                        	0.0841                   	8                        
	1252                     	5                        	0.0486                   	4,7,11,14,15             
	1257                     	1                        	0.0742                   	4                        
	1258                     	1                        	0.0608                   	4                        
	1262                     	2                        	0.0056                   	14,19                    
	1264                     	2                        	0.0232                   	13,18                    
	1278                     	6                        	0.1078                   	1,11,13,14,17,20         
	1280                     	2                        	0.0438                   	1,2                      
	1282                     	4                        	0.0221                   	1,2,11,17                
	1283                     	3                        	0.0661                   	8,14,17                  
	1287                     	1                        	0.0088                   	18                       
	1333                     	4                        	0.0495                   	2,4,8,11                 
	1335                     	2                        	0.0033                   	6,18                     
	1358                     	8                        	0.0565                   	2,6,7,10,11,15,18,20     
	1361                     	3                        	0.043                    	8,14,16                  
	1362                     	1                        	0.0222                   	2                        
	1367                     	7                        	0.0497                   	1,6,7,10,14,17,19        
	1377                     	1                        	0.0588                   	5                        
	1390                     	2                        	0.034                    	6,11                     
	1395                     	2                        	0.0323                   	2,4                      
	1402                     	1                        	0.0522                   	12                       
	1409                     	1                        	0.0453                   	10                       
	1410                     	2                        	0.0238                   	2,3                      
	1411                     	8                        	0.0776                   	1,5,8,11,12,13,19,20     
	1418                     	3                        	0.0232                   	1,8,9                    
	1425                     	4                        	0.0312                   	6,11,17,20               
	1427                     	2                        	0.0322                   	11,15                    
	1428                     	2                        	0.0127                   	4,10                     
	1431                     	2                        	0.0259                   	11,19                    
	1432                     	2                        	0.0092                   	10,19                    
	1440                     	2                        	0.1554                   	3,14                     
	1442                     	6                        	0.0215                   	7,8,11,15,17,18          
	1443                     	1                        	0.0008                   	3                        
	1444                     	2                        	0.0787                   	11,17                    
	1445                     	1                        	0.0819                   	19                       
	1447                     	2                        	0.042                    	17,19                    
	1450                     	2                        	0.0035                   	8,13                     
	1451                     	3                        	0.1874                   	12,15,20                 
	1456                     	9                        	0.0371                   	1,8,11,12,13,14,15,19,20 
	1461                     	1                        	0.0054                   	10                       
	1469                     	11                       	0.0324                   	1,2,3,4,7,11,12,17,18,19,20
