1. Distance restraints summary
------------------------------

	Total number of restraints                                    =  4712 (100.0%)
	Intraresidue restraints |i-j|=0                               =   934 (19.82%)
	Sequential restraints |i-j|=1                                 =  1024 (21.73%)
	Medium range  restraints|i-j|>1 and |i-j|<5                   =   890 (18.89%)
	Long range restraints|i-j|>=5                                 =  1864 (39.56%)


2. Distance restraint violations
--------------------------------

2.1 Number of violated restraints for each model
------------------------------------------------

       Model	    Not Violated(%)	        Violated(%)	         0A-0.2A(%)	       0.2A-0.5A(%)	       0.5A-1.0A(%)	       1.0A-2.0A(%)	       2.0A-5.0A(%)	           >5.0A(%)

           1	        4198(89.09)	         514(10.91)	         461(9.78)	          21(0.45)	          30(0.64)	           2(0.04)	           0(0.0)	           0(0.0)
           2	        4213(89.41)	         499(10.59)	         446(9.47)	          24(0.51)	          26(0.55)	           3(0.06)	           0(0.0)	           0(0.0)
           3	        4212(89.39)	         500(10.61)	         447(9.49)	          24(0.51)	          27(0.57)	           2(0.04)	           0(0.0)	           0(0.0)
           4	        4203(89.2)	         509(10.8)	         456(9.68)	          22(0.47)	          28(0.59)	           3(0.06)	           0(0.0)	           0(0.0)
           5	        4210(89.35)	         502(10.65)	         450(9.55)	          21(0.45)	          29(0.62)	           2(0.04)	           0(0.0)	           0(0.0)
           6	        4198(89.09)	         514(10.91)	         460(9.76)	          22(0.47)	          29(0.62)	           3(0.06)	           0(0.0)	           0(0.0)
           7	        4200(89.13)	         512(10.87)	         457(9.7)	          26(0.55)	          26(0.55)	           3(0.06)	           0(0.0)	           0(0.0)
           8	        4202(89.18)	         510(10.82)	         456(9.68)	          22(0.47)	          29(0.62)	           3(0.06)	           0(0.0)	           0(0.0)
           9	        4198(89.09)	         514(10.91)	         457(9.7)	          27(0.57)	          29(0.62)	           1(0.02)	           0(0.0)	           0(0.0)
          10	        4200(89.13)	         512(10.87)	         462(9.8)	          24(0.51)	          23(0.49)	           3(0.06)	           0(0.0)	           0(0.0)
          11	        4194(89.01)	         518(10.99)	         460(9.76)	          26(0.55)	          29(0.62)	           3(0.06)	           0(0.0)	           0(0.0)
          12	        4184(88.79)	         528(11.21)	         473(10.04)	          25(0.53)	          30(0.64)	           0(0.0)	           0(0.0)	           0(0.0)
          13	        4184(88.79)	         528(11.21)	         474(10.06)	          22(0.47)	          29(0.62)	           3(0.06)	           0(0.0)	           0(0.0)
          14	        4199(89.11)	         513(10.89)	         460(9.76)	          22(0.47)	          28(0.59)	           3(0.06)	           0(0.0)	           0(0.0)
          15	        4206(89.26)	         506(10.74)	         449(9.53)	          26(0.55)	          29(0.62)	           2(0.04)	           0(0.0)	           0(0.0)
          16	        4193(88.99)	         519(11.01)	         467(9.91)	          24(0.51)	          26(0.55)	           2(0.04)	           0(0.0)	           0(0.0)
          17	        4208(89.3)	         504(10.7)	         448(9.51)	          26(0.55)	          28(0.59)	           2(0.04)	           0(0.0)	           0(0.0)
          18	        4183(88.77)	         529(11.23)	         476(10.1)	          22(0.47)	          29(0.62)	           2(0.04)	           0(0.0)	           0(0.0)
          19	        4182(88.75)	         530(11.25)	         477(10.12)	          22(0.47)	          28(0.59)	           3(0.06)	           0(0.0)	           0(0.0)
          20	        4201(89.16)	         511(10.84)	         458(9.72)	          26(0.55)	          26(0.55)	           1(0.02)	           0(0.0)	           0(0.0)


2.2 Number of violated models for each restraint
------------------------------------------------

	Restraint ID             	No. of Violated Models   	Average Violation(A)     	Violated Models          
	221                      	2                        	0.1462                   	11,17                    
	222                      	6                        	0.0663                   	6,8,11,16,17,19          
	225                      	10                       	0.0821                   	4,5,6,8,12,14,15,16,19,20
	227                      	16                       	0.0265                   	1,2,3,4,5,6,7,9,10,12,14,15,16,17,18,20
	230                      	2                        	0.0081                   	5,10                     
	232                      	7                        	0.0886                   	1,3,7,8,13,18,19         
	235                      	15                       	0.0488                   	1,3,5,6,7,8,9,10,11,13,14,16,18,19,20
	243                      	1                        	0.2263                   	17                       
	244                      	2                        	0.0162                   	7,19                     
	246                      	16                       	0.0993                   	1,2,3,4,5,6,9,10,11,12,13,14,15,16,18,20
	249                      	9                        	0.0159                   	1,3,5,7,9,14,16,18,19    
	255                      	1                        	0.0841                   	17                       
	256                      	4                        	0.0541                   	7,8,13,19                
	259                      	1                        	0.0707                   	17                       
	261                      	19                       	0.0734                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,18,19,20
	264                      	1                        	0.2927                   	17                       
	269                      	1                        	0.0337                   	17                       
	276                      	1                        	0.2185                   	17                       
	279                      	20                       	0.0678                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	280                      	17                       	0.0445                   	1,2,3,4,5,6,7,8,9,10,12,13,14,15,16,18,19
	282                      	17                       	0.0508                   	1,2,3,4,5,6,7,8,9,10,12,13,14,15,16,18,19
	286                      	4                        	0.0068                   	3,9,14,18                
	292                      	4                        	0.0254                   	7,8,16,19                
	295                      	17                       	0.0182                   	1,2,3,4,5,6,7,9,10,12,13,14,15,16,18,19,20
	304                      	6                        	0.0385                   	2,8,13,17,19,20          
	309                      	2                        	0.035                    	11,20                    
	316                      	2                        	0.1704                   	11,20                    
	318                      	19                       	0.0496                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,18,19,20
	319                      	1                        	0.0224                   	17                       
	321                      	7                        	0.0163                   	1,3,9,11,13,18,20        
	324                      	4                        	0.0426                   	7,11,16,20               
	325                      	18                       	0.0395                   	1,2,3,4,5,6,7,8,9,10,12,13,14,15,16,17,18,19
	328                      	8                        	0.0142                   	1,3,4,6,12,13,18,20      
	335                      	20                       	0.0585                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	338                      	1                        	0.0221                   	17                       
	341                      	19                       	0.0689                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,18,19,20
	342                      	19                       	0.0974                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,18,19,20
	343                      	20                       	0.0572                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	349                      	19                       	0.0363                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,18,19,20
	352                      	20                       	0.0643                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	353                      	20                       	0.0632                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	359                      	20                       	0.1081                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	362                      	20                       	0.0485                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	370                      	20                       	0.0302                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	382                      	20                       	0.0432                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	389                      	2                        	0.01                     	8,19                     
	392                      	4                        	0.0104                   	4,9,10,18                
	395                      	1                        	0.0219                   	17                       
	396                      	1                        	0.0116                   	15                       
	397                      	16                       	0.0228                   	1,2,3,4,5,6,7,9,10,12,13,14,15,16,18,19
	412                      	1                        	0.0321                   	7                        
	413                      	9                        	0.0271                   	1,7,8,9,13,15,16,17,19   
	421                      	4                        	0.0088                   	3,7,9,15                 
	423                      	6                        	0.0265                   	7,8,10,13,14,19          
