1. Distance restraints summary
------------------------------

	Total number of restraints                                    =  4712 (100.0%)
	Intraresidue restraints |i-j|=0                               =   934 (19.82%)
	Sequential restraints |i-j|=1                                 =  1024 (21.73%)
	Medium range  restraints|i-j|>1 and |i-j|<5                   =   890 (18.89%)
	Long range restraints|i-j|>=5                                 =  1864 (39.56%)


2. Distance restraint violations
--------------------------------

2.1 Number of violated restraints for each model
------------------------------------------------

       Model	    Not Violated(%)	        Violated(%)	         0A-0.2A(%)	       0.2A-0.5A(%)	       0.5A-1.0A(%)	       1.0A-2.0A(%)	       2.0A-5.0A(%)	           >5.0A(%)

           1	        4198(89.09)	         514(10.91)	         461(9.78)	          21(0.45)	          30(0.64)	           2(0.04)	           0(0.0)	           0(0.0)
           2	        4213(89.41)	         499(10.59)	         446(9.47)	          24(0.51)	          26(0.55)	           3(0.06)	           0(0.0)	           0(0.0)
           3	        4212(89.39)	         500(10.61)	         447(9.49)	          24(0.51)	          27(0.57)	           2(0.04)	           0(0.0)	           0(0.0)
           4	        4203(89.2)	         509(10.8)	         456(9.68)	          22(0.47)	          28(0.59)	           3(0.06)	           0(0.0)	           0(0.0)
           5	        4210(89.35)	         502(10.65)	         450(9.55)	          21(0.45)	          29(0.62)	           2(0.04)	           0(0.0)	           0(0.0)
           6	        4198(89.09)	         514(10.91)	         460(9.76)	          22(0.47)	          29(0.62)	           3(0.06)	           0(0.0)	           0(0.0)
           7	        4200(89.13)	         512(10.87)	         457(9.7)	          26(0.55)	          26(0.55)	           3(0.06)	           0(0.0)	           0(0.0)
           8	        4202(89.18)	         510(10.82)	         456(9.68)	          22(0.47)	          29(0.62)	           3(0.06)	           0(0.0)	           0(0.0)
           9	        4198(89.09)	         514(10.91)	         457(9.7)	          27(0.57)	          29(0.62)	           1(0.02)	           0(0.0)	           0(0.0)
          10	        4200(89.13)	         512(10.87)	         462(9.8)	          24(0.51)	          23(0.49)	           3(0.06)	           0(0.0)	           0(0.0)
          11	        4194(89.01)	         518(10.99)	         460(9.76)	          26(0.55)	          29(0.62)	           3(0.06)	           0(0.0)	           0(0.0)
          12	        4184(88.79)	         528(11.21)	         473(10.04)	          25(0.53)	          30(0.64)	           0(0.0)	           0(0.0)	           0(0.0)
          13	        4184(88.79)	         528(11.21)	         474(10.06)	          22(0.47)	          29(0.62)	           3(0.06)	           0(0.0)	           0(0.0)
          14	        4199(89.11)	         513(10.89)	         460(9.76)	          22(0.47)	          28(0.59)	           3(0.06)	           0(0.0)	           0(0.0)
          15	        4206(89.26)	         506(10.74)	         449(9.53)	          26(0.55)	          29(0.62)	           2(0.04)	           0(0.0)	           0(0.0)
          16	        4193(88.99)	         519(11.01)	         467(9.91)	          24(0.51)	          26(0.55)	           2(0.04)	           0(0.0)	           0(0.0)
          17	        4208(89.3)	         504(10.7)	         448(9.51)	          26(0.55)	          28(0.59)	           2(0.04)	           0(0.0)	           0(0.0)
          18	        4183(88.77)	         529(11.23)	         476(10.1)	          22(0.47)	          29(0.62)	           2(0.04)	           0(0.0)	           0(0.0)
          19	        4182(88.75)	         530(11.25)	         477(10.12)	          22(0.47)	          28(0.59)	           3(0.06)	           0(0.0)	           0(0.0)
          20	        4201(89.16)	         511(10.84)	         458(9.72)	          26(0.55)	          26(0.55)	           1(0.02)	           0(0.0)	           0(0.0)


2.2 Number of violated models for each restraint
------------------------------------------------

	Restraint ID             	No. of Violated Models   	Average Violation(A)     	Violated Models          
	3976                     	6                        	0.0191                   	5,11,13,14,17,18         
	3982                     	18                       	0.0437                   	1,2,4,5,6,7,8,9,10,11,12,13,15,16,17,18,19,20
	3983                     	3                        	0.0368                   	11,12,13                 
	3997                     	1                        	0.0236                   	12                       
	4003                     	8                        	0.03                     	1,2,5,7,8,15,18,20       
	4006                     	3                        	0.3832                   	2,3,15                   
	4007                     	8                        	0.0702                   	6,9,10,11,12,16,17,18    
	4021                     	6                        	0.029                    	1,8,13,14,19,20          
	4025                     	14                       	0.0449                   	1,2,3,4,5,6,7,9,12,13,16,18,19,20
	4030                     	19                       	0.0854                   	1,2,3,4,5,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	4038                     	1                        	0.0307                   	3                        
	4039                     	1                        	0.0056                   	15                       
	4040                     	2                        	0.0023                   	14,19                    
	4041                     	10                       	0.1306                   	5,6,8,9,10,11,12,16,17,18
	4042                     	4                        	0.0451                   	9,11,12,16               
	4052                     	1                        	0.1134                   	20                       
	4056                     	1                        	0.0036                   	6                        
	4057                     	1                        	0.1054                   	6                        
	4058                     	3                        	0.0405                   	3,6,20                   
	4072                     	17                       	0.0798                   	1,2,4,5,7,8,9,10,11,12,13,14,15,16,17,18,19
	4073                     	2                        	0.0059                   	9,10                     
	4075                     	12                       	0.0917                   	2,3,4,6,7,9,10,13,16,18,19,20
	4076                     	12                       	0.1197                   	2,3,4,6,7,9,10,13,16,18,19,20
	4078                     	2                        	0.0178                   	5,12                     
	4085                     	4                        	0.0027                   	4,9,13,19                
	4086                     	12                       	0.0557                   	1,5,8,9,10,11,12,14,15,16,17,18
	4090                     	9                        	0.0381                   	2,3,4,7,12,13,16,19,20   
	4091                     	12                       	0.0118                   	2,3,4,6,7,9,10,12,16,18,19,20
	4101                     	12                       	0.1506                   	2,3,4,6,7,9,10,13,16,18,19,20
	4104                     	20                       	0.0525                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	4109                     	12                       	0.0421                   	2,3,4,6,7,9,10,13,16,18,19,20
	4113                     	9                        	0.0182                   	2,3,4,6,7,10,18,19,20    
	4121                     	8                        	0.0904                   	1,5,8,11,12,14,15,17     
	4122                     	1                        	0.0014                   	12                       
	4123                     	6                        	0.0207                   	1,5,12,14,15,17          
	4162                     	20                       	0.0628                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	4164                     	9                        	0.0157                   	1,5,8,11,12,13,14,15,16  
	4177                     	20                       	0.0835                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	4179                     	3                        	0.0171                   	5,8,11                   
	4181                     	3                        	0.018                    	9,10,17                  
	4183                     	20                       	0.0637                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	4189                     	8                        	0.0431                   	2,3,7,9,10,17,19,20      
	4191                     	11                       	0.0503                   	1,2,3,7,9,10,11,15,17,19,20
	4197                     	17                       	0.0748                   	1,3,4,5,6,7,9,11,12,13,14,15,16,17,18,19,20
	4218                     	17                       	0.0793                   	1,3,4,5,6,7,9,11,12,13,14,15,16,17,18,19,20
	4219                     	3                        	0.0419                   	2,8,10                   
	4226                     	3                        	0.0713                   	2,8,10                   
	4230                     	17                       	0.0601                   	1,3,4,5,6,7,9,11,12,13,14,15,16,17,18,19,20
	4232                     	19                       	0.1121                   	1,2,3,4,5,6,7,8,9,11,12,13,14,15,16,17,18,19,20
	4233                     	17                       	0.1029                   	1,3,4,5,6,7,9,11,12,13,14,15,16,17,18,19,20
	4244                     	3                        	0.126                    	2,8,10                   
	4258                     	1                        	0.0026                   	20                       
	4261                     	3                        	0.031                    	5,10,16                  
	4278                     	15                       	0.0286                   	1,2,3,5,7,8,9,10,11,12,14,15,17,19,20
	4283                     	18                       	0.0163                   	1,2,3,5,6,7,8,9,10,11,12,14,15,16,17,18,19,20
	4286                     	14                       	0.021                    	2,3,5,7,9,11,12,13,14,15,16,17,19,20
	4292                     	18                       	0.0393                   	1,2,3,4,5,6,7,8,10,11,13,14,15,16,17,18,19,20
	4314                     	20                       	0.0289                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	4326                     	2                        	0.0056                   	7,16                     
	4330                     	19                       	0.0567                   	1,2,3,4,5,6,7,8,9,10,12,13,14,15,16,17,18,19,20
	4341                     	2                        	0.0905                   	7,16                     
	4346                     	18                       	0.168                    	1,2,3,4,5,6,8,9,10,11,12,13,14,15,17,18,19,20
	4347                     	2                        	0.0765                   	7,16                     
	4348                     	2                        	0.1422                   	7,16                     
	4349                     	2                        	0.0087                   	7,16                     
	4352                     	2                        	0.0826                   	7,16                     
	4353                     	2                        	0.0593                   	7,16                     
	4356                     	3                        	0.0582                   	7,13,16                  
	4357                     	2                        	0.079                    	7,16                     
	4368                     	16                       	0.0204                   	1,2,3,5,6,8,9,10,11,13,14,15,17,18,19,20
	4373                     	1                        	0.0046                   	11                       
	4375                     	20                       	0.0419                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	4377                     	20                       	0.0973                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	4379                     	20                       	0.0492                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	4388                     	20                       	0.0559                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	4390                     	16                       	0.012                    	1,3,4,5,6,7,8,9,10,11,12,14,16,17,18,20
	4398                     	20                       	0.1676                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	4415                     	20                       	0.1403                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	4427                     	7                        	0.0069                   	2,4,9,11,12,19,20        
	4435                     	8                        	0.0148                   	1,4,7,14,15,16,17,18     
	4443                     	16                       	0.0138                   	2,4,6,7,8,9,10,11,12,13,15,16,17,18,19,20
	4446                     	2                        	0.0118                   	9,17                     
	4454                     	20                       	0.0967                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	4455                     	19                       	0.0226                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,20
	4461                     	20                       	0.1168                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	4462                     	20                       	0.0395                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	4473                     	4                        	0.0073                   	8,13,19,20               
	4493                     	20                       	0.0293                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	4501                     	20                       	0.0826                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	4509                     	20                       	0.0478                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	4512                     	20                       	0.0725                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	4513                     	20                       	0.0481                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	4520                     	14                       	0.0058                   	1,4,5,7,8,11,12,13,14,15,16,17,19,20
	4522                     	19                       	0.022                    	1,2,3,4,5,6,7,8,9,10,11,12,14,15,16,17,18,19,20
	4523                     	20                       	0.0427                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	4529                     	7                        	0.0083                   	1,5,8,11,12,14,17        
	4535                     	18                       	0.054                    	1,2,3,4,5,6,8,9,10,11,12,14,15,16,17,18,19,20
	4538                     	8                        	0.0147                   	2,3,4,10,12,16,18,20     
	4539                     	4                        	0.1356                   	7,8,13,19                
	4542                     	16                       	0.0447                   	1,2,3,4,5,6,9,10,11,12,14,15,16,17,18,20
	4546                     	20                       	0.085                    	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	4550                     	20                       	0.0519                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	4551                     	17                       	0.0293                   	1,3,4,5,6,7,8,9,10,11,12,14,15,16,17,19,20
	4561                     	14                       	0.0072                   	1,2,3,4,5,6,9,10,11,12,14,15,17,19
	4567                     	20                       	0.0757                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	4571                     	20                       	0.0423                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	4574                     	20                       	0.0677                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	4577                     	20                       	0.0716                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	4586                     	20                       	0.02                     	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	4591                     	3                        	0.0086                   	13,17,19                 
	4597                     	12                       	0.0112                   	2,3,4,7,8,9,10,11,12,14,17,20
	4606                     	5                        	0.01                     	1,8,9,11,17              
	4608                     	20                       	0.0182                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	4611                     	17                       	0.0395                   	1,2,3,4,5,7,8,9,10,11,12,14,15,16,17,18,20
	4616                     	10                       	0.037                    	2,4,6,9,10,12,14,16,17,20
	4617                     	4                        	0.021                    	6,9,14,16                
	4621                     	17                       	0.0208                   	1,2,3,4,5,7,8,9,10,11,12,13,14,17,18,19,20
	4625                     	1                        	0.1687                   	18                       
	4636                     	1                        	0.0705                   	18                       
	4640                     	1                        	0.1534                   	18                       
	4647                     	4                        	0.0738                   	3,7,8,11                 
	4648                     	1                        	0.0723                   	18                       
	4649                     	3                        	0.0341                   	13,15,19                 
	4657                     	2                        	0.0022                   	15,19                    
	4660                     	5                        	0.0307                   	6,8,12,16,18             
	4663                     	1                        	0.0139                   	18                       
	4666                     	1                        	0.0274                   	18                       
	4671                     	14                       	0.0217                   	1,2,3,4,6,7,8,9,10,11,12,15,16,19
	4672                     	3                        	0.0618                   	5,13,17                  
	4674                     	3                        	0.1761                   	11,14,20                 
	4675                     	1                        	0.281                    	13                       
	4676                     	3                        	0.0628                   	11,14,20                 
	4678                     	20                       	0.1421                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	4679                     	20                       	0.1295                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	4684                     	3                        	0.0104                   	1,5,9                    
	4685                     	17                       	0.0834                   	1,2,3,5,6,7,8,9,10,11,12,13,15,16,17,18,19
	4690                     	2                        	0.0106                   	4,14                     
	4701                     	18                       	0.0387                   	1,2,3,4,5,6,7,9,10,11,12,13,14,15,16,17,18,19
	4703                     	19                       	0.068                    	1,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	4710                     	20                       	0.079                    	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	4718                     	6                        	0.0334                   	5,6,13,15,18,20          
	4725                     	19                       	0.0869                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19

2.3 Distance restraint violations summary
-----------------------------------------

	                                                                 	Intrresidue         	Sequential          	Medium-range        	Long-range          	Total               

	Number of consistently violated restraints (violated in all models)	    21 (0.45%)      	    31 (0.66%)      	    66 (1.4%)       	   102 (2.16%)      	   220 (4.67%)      
	Number of violated restraints (at least in one model)            	    79 (1.68%)      	   184 (3.9%)       	   249 (5.28%)      	   442 (9.38%)      	   954 (20.25%)     
	Number of non violated restraints                                	   855 (18.15%)     	   840 (17.83%)     	   641 (13.6%)      	  1422 (30.18%)     	  3758 (79.75%)     
	Total number of restraints                                       	   934 (19.82%)     	  1024 (21.73%)     	   890 (18.89%)     	  1864 (39.56%)     	  4712 (100.0%)     


2.4 List of largest 10 distance violations
------------------------------------------

	Restraint ID                  	Model ID                      	|Exp. value - Model value|A   

	86                            	13                            	1.0894                        
	86                            	14                            	1.082                         
	86                            	6                             	1.0719                        
	86                            	11                            	1.0564                        
	64                            	2                             	1.056                         
	86                            	8                             	1.0541                        
	64                            	1                             	1.0531                        
	66                            	13                            	1.0501                        
	64                            	10                            	1.0459                        
	64                            	4                             	1.0434                        


2.5 List of largest 10 average distance violations
--------------------------------------------------

	Restraint ID                  	Number of Models              	|Exp. value - Model value|A   

	64                            	20                            	1.0204                        
	66                            	20                            	1.0124                        
	86                            	20                            	0.9639                        
	68                            	20                            	0.9103                        
	70                            	20                            	0.8445                        
	62                            	20                            	0.8143                        
	60                            	20                            	0.807                         
	22                            	20                            	0.8014                        
	52                            	20                            	0.8012                        
	38                            	20                            	0.7835                        
========================================================================================================================

3. Angle restraints summary
---------------------------

	Total number of restraints                                    =   241 (100.0%)
	Torsion angle Name CHI                                        =     1 (0.41%)
	Torsion angle Name PHI                                        =   117 (48.55%)
	Torsion angle Name PSI                                        =   117 (48.55%)
	Torsion angle Name DELTA                                      =     6 (2.49%)


4. Angle restraint violations
------------------------------

4.1 Number of violated restraints for each model
------------------------------------------------

       Model	Not Violated (%)	    Violated (%)	         0-5 (%)	        5-10 (%)	       10-20 (%)	       20-40 (%)	       40-80 (%)	         >80 (%)

           1	         211(87.55)	          30(12.45)	          30(12.45)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
           2	         215(89.21)	          26(10.79)	          26(10.79)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
           3	         216(89.63)	          25(10.37)	          25(10.37)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
           4	         215(89.21)	          26(10.79)	          26(10.79)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
           5	         211(87.55)	          30(12.45)	          30(12.45)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
           6	         209(86.72)	          32(13.28)	          32(13.28)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
           7	         212(87.97)	          29(12.03)	          29(12.03)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
           8	         212(87.97)	          29(12.03)	          29(12.03)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
           9	         215(89.21)	          26(10.79)	          26(10.79)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
          10	         218(90.46)	          23(9.54)	          23(9.54)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
          11	         207(85.89)	          34(14.11)	          34(14.11)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
          12	         214(88.8)	          27(11.2)	          27(11.2)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
          13	         215(89.21)	          26(10.79)	          26(10.79)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
          14	         217(90.04)	          24(9.96)	          24(9.96)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
          15	         214(88.8)	          27(11.2)	          27(11.2)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
          16	         211(87.55)	          30(12.45)	          30(12.45)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
          17	         212(87.97)	          29(12.03)	          29(12.03)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
          18	         214(88.8)	          27(11.2)	          27(11.2)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
          19	         212(87.97)	          29(12.03)	          29(12.03)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
          20	         211(87.55)	          30(12.45)	          30(12.45)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)


4.2 Number of violated models for each restraint
------------------------------------------------

	Restraint ID             	No. of Violated Models   	Average Violation(A)     	Violated Models          

	1                        	2                        	0.0917                   	10,11                    
	3                        	5                        	0.1963                   	11,13,17,19,20           
	4                        	19                       	0.239                    	1,2,3,4,5,6,8,9,10,11,12,13,14,15,16,17,18,19,20
	5                        	20                       	0.3061                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	6                        	16                       	0.1952                   	1,3,4,5,7,9,10,11,12,13,14,15,16,18,19,20
	11                       	13                       	0.1226                   	1,4,5,6,7,8,9,12,13,14,16,17,18
	13                       	14                       	0.0785                   	1,2,3,4,5,6,9,10,12,13,16,17,18,19
	31                       	2                        	0.071                    	16,17                    
	37                       	17                       	0.0795                   	1,2,3,5,6,7,8,9,10,11,12,13,14,15,18,19,20
	38                       	6                        	0.1056                   	4,5,6,7,8,11             
	42                       	19                       	0.1481                   	1,2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	44                       	2                        	0.0234                   	3,9                      
	46                       	3                        	0.0891                   	2,4,10                   
	52                       	1                        	0.0818                   	14                       
	57                       	2                        	0.049                    	5,15                     
	59                       	1                        	0.0338                   	5                        
	62                       	6                        	0.0526                   	1,2,5,11,16,19           
	63                       	1                        	0.0246                   	4                        
	67                       	11                       	0.0405                   	1,3,4,8,9,12,14,16,17,19,20
	72                       	7                        	0.0404                   	5,6,11,15,16,17,18       
	74                       	14                       	0.0967                   	1,3,6,7,8,9,11,12,15,16,17,18,19,20
	77                       	18                       	0.1432                   	1,2,3,5,6,7,8,9,10,12,13,14,15,16,17,18,19,20
	80                       	4                        	0.0782                   	2,4,7,8                  
	86                       	20                       	0.1535                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	98                       	2                        	0.0487                   	17,19                    
	103                      	16                       	0.0919                   	1,3,4,5,6,7,8,9,10,11,12,14,15,16,18,20
	107                      	11                       	0.0973                   	2,4,5,6,7,8,11,13,17,19,20
	111                      	11                       	0.0782                   	1,2,3,6,8,10,11,12,14,19,20
	112                      	6                        	0.0929                   	6,7,10,11,13,16          
	119                      	15                       	0.0771                   	2,3,6,7,8,10,11,12,13,15,16,17,18,19,20
	122                      	8                        	0.096                    	2,4,7,11,12,16,17,20     
	132                      	19                       	0.109                    	1,2,3,4,5,6,7,8,9,10,11,12,13,15,16,17,18,19,20
	143                      	12                       	0.0392                   	1,3,4,6,7,8,9,10,11,14,15,18
	145                      	3                        	0.0824                   	2,7,20                   
	146                      	14                       	0.114                    	1,2,3,6,7,8,9,11,12,13,17,18,19,20
	149                      	2                        	0.0767                   	7,17                     
	150                      	1                        	0.0159                   	5                        
	153                      	20                       	0.1081                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	160                      	20                       	0.1369                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	167                      	4                        	0.1594                   	3,6,7,16                 
	178                      	13                       	0.0846                   	1,4,5,6,8,9,10,13,14,15,17,18,20
	187                      	1                        	0.0906                   	14                       
	194                      	18                       	0.0975                   	1,2,3,4,5,7,9,10,11,12,13,14,15,16,17,18,19,20
	195                      	20                       	0.1144                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	200                      	5                        	0.1132                   	1,6,11,15,16             
	202                      	2                        	0.056                    	15,20                    
	203                      	17                       	0.1065                   	1,2,3,4,5,6,8,9,11,12,13,15,16,17,18,19,20
	214                      	12                       	0.0557                   	1,2,5,6,8,9,11,13,14,18,19,20
	215                      	6                        	0.0609                   	2,8,11,12,19,20          
	222                      	8                        	0.1167                   	6,7,8,11,13,14,15,17     
	223                      	5                        	0.0625                   	1,5,7,16,19              
	226                      	14                       	0.1036                   	1,3,4,5,6,9,11,12,14,15,16,17,18,20
	237                      	18                       	0.462                    	1,2,3,5,6,7,8,9,10,11,12,13,15,16,17,18,19,20
	238                      	13                       	0.2804                   	1,4,5,6,8,11,12,13,14,15,16,18,19
	239                      	20                       	0.473                    	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20

4.3 Angle restraint violations summary
--------------------------------------

	Number of consistently violated restraints (violated in all models)     =     6 (2.49%)
	Number of violated restraints (at least in one model)                   =    55 (22.82%)
	Number of non violated restraints                                       =   186 (77.18%)
	Total number of restraints                                              =   241 (100.0%)


4.4 List of largest 10 angle violations
---------------------------------------

	Restraint ID                  	Model ID                      	|Exp. value - Model value|A   

	237                           	5                             	0.6774                        
	239                           	19                            	0.6305                        
	239                           	7                             	0.5952                        
	239                           	20                            	0.5874                        
	239                           	2                             	0.5823                        
	237                           	2                             	0.5763                        
	239                           	6                             	0.5458                        
	237                           	15                            	0.5408                        
	237                           	19                            	0.5201                        
	239                           	4                             	0.5156                        


4.5 List of largest 10 average angle violations
-----------------------------------------------

	Restraint ID                  	Number of models              	|Exp. value - Model value|A   

	239                           	20                            	0.473                         
	237                           	18                            	0.462                         
	5                             	20                            	0.3061                        
	238                           	13                            	0.2804                        
	4                             	19                            	0.239                         
	3                             	5                             	0.1963                        
	6                             	16                            	0.1952                        
	167                           	4                             	0.1594                        
	86                            	20                            	0.1535                        
	42                            	19                            	0.1481                        
========================================================================================================================

