	Number of consistently violated restraints (violated in all models)	     0 (0.0%)       	     0 (0.0%)       	     1 (0.04%)      	     0 (0.0%)       	     1 (0.04%)      
	Number of violated restraints (at least in one model)            	    11 (0.43%)      	    25 (0.98%)      	    54 (2.13%)      	   121 (4.76%)      	   211 (8.3%)       
	Number of non violated restraints                                	   732 (28.81%)     	   606 (23.85%)     	   359 (14.13%)     	   633 (24.91%)     	  2330 (91.7%)      
	Total number of restraints                                       	   743 (29.24%)     	   631 (24.83%)     	   413 (16.25%)     	   754 (29.67%)     	  2541 (100.0%)     


2.4 List of largest 10 distance violations
------------------------------------------

	Restraint ID                  	Model ID                      	|Exp. value - Model value|A   

	1783                          	2                             	0.3179                        
	10                            	20                            	0.2844                        
	1594                          	15                            	0.2807                        
	2127                          	6                             	0.2692                        
	1783                          	16                            	0.2641                        
	1783                          	13                            	0.2601                        
	2355                          	7                             	0.2399                        
	68                            	13                            	0.2348                        
	1594                          	16                            	0.2301                        
	1783                          	19                            	0.216                         


2.5 List of largest 10 average distance violations
--------------------------------------------------

	Restraint ID                  	Number of Models              	|Exp. value - Model value|A   

	2127                          	1                             	0.2692                        
	2355                          	1                             	0.2399                        
	41                            	1                             	0.1748                        
	1703                          	1                             	0.1731                        
	1593                          	2                             	0.1648                        
	1783                          	14                            	0.1622                        
	1594                          	4                             	0.1601                        
	1185                          	1                             	0.16                          
	10                            	3                             	0.1585                        
	2465                          	1                             	0.1575                        
========================================================================================================================

3. Angle restraints summary
---------------------------

	Total number of restraints                                    =   122 (100.0%)
	Torsion angle Name PHI                                        =    61 (50.0%)
	Torsion angle Name PSI                                        =    61 (50.0%)


4. Angle restraint violations
------------------------------

4.1 Number of violated restraints for each model
------------------------------------------------

       Model	Not Violated (%)	    Violated (%)	         0-5 (%)	        5-10 (%)	       10-20 (%)	       20-40 (%)	       40-80 (%)	         >80 (%)

           1	         112(91.8)	          10(8.2)	          10(8.2)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
           2	         111(90.98)	          11(9.02)	          11(9.02)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
           3	         108(88.52)	          14(11.48)	          14(11.48)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
           4	         115(94.26)	           7(5.74)	           7(5.74)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
           5	         106(86.89)	          16(13.11)	          16(13.11)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
           6	         114(93.44)	           8(6.56)	           8(6.56)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
           7	         111(90.98)	          11(9.02)	          11(9.02)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
           8	         109(89.34)	          13(10.66)	          13(10.66)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
           9	         115(94.26)	           7(5.74)	           7(5.74)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
          10	         112(91.8)	          10(8.2)	           9(7.38)	           1(0.82)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
          11	         117(95.9)	           5(4.1)	           5(4.1)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
          12	         111(90.98)	          11(9.02)	          11(9.02)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
          13	         113(92.62)	           9(7.38)	           9(7.38)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
          14	         115(94.26)	           7(5.74)	           7(5.74)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
