	Number of consistently violated restraints (violated in all models)	     1 (0.03%)      	     2 (0.07%)      	     7 (0.24%)      	     2 (0.07%)      	    12 (0.41%)      
	Number of violated restraints (at least in one model)            	    12 (0.41%)      	    41 (1.41%)      	    53 (1.82%)      	   103 (3.53%)      	   209 (7.16%)      
	Number of non violated restraints                                	   558 (19.12%)     	   617 (21.14%)     	   426 (14.6%)      	  1108 (37.97%)     	  2709 (92.84%)     
	Total number of restraints                                       	   570 (19.53%)     	   658 (22.55%)     	   479 (16.42%)     	  1211 (41.5%)      	  2918 (100.0%)     


2.4 List of largest 10 distance violations
------------------------------------------

	Restraint ID                  	Model ID                      	|Exp. value - Model value|A   

	1058                          	1                             	0.3301                        
	1058                          	13                            	0.3066                        
	1058                          	15                            	0.3038                        
	1058                          	3                             	0.2989                        
	1058                          	9                             	0.2963                        
	1058                          	5                             	0.2954                        
	1058                          	19                            	0.2893                        
	1058                          	14                            	0.2871                        
	1058                          	17                            	0.2864                        
	1058                          	8                             	0.2845                        


2.5 List of largest 10 average distance violations
--------------------------------------------------

	Restraint ID                  	Number of Models              	|Exp. value - Model value|A   

	1058                          	20                            	0.2796                        
	1561                          	1                             	0.2191                        
	2066                          	1                             	0.2146                        
	1288                          	1                             	0.1998                        
	209                           	1                             	0.1986                        
	295                           	1                             	0.1802                        
	99                            	20                            	0.1786                        
	2161                          	1                             	0.1568                        
	2702                          	1                             	0.1206                        
	2299                          	9                             	0.1148                        
========================================================================================================================

3. Angle restraints summary
---------------------------

	Total number of restraints                                    =    80 (100.0%)
	Torsion angle Name PHI                                        =    40 (50.0%)
	Torsion angle Name PSI                                        =    40 (50.0%)


4. Angle restraint violations
------------------------------

4.1 Number of violated restraints for each model
------------------------------------------------

       Model	Not Violated (%)	    Violated (%)	         0-5 (%)	        5-10 (%)	       10-20 (%)	       20-40 (%)	       40-80 (%)	         >80 (%)

           1	          78(97.5)	           2(2.5)	           1(1.25)	           1(1.25)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
           2	          77(96.25)	           3(3.75)	           2(2.5)	           1(1.25)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
           3	          75(93.75)	           5(6.25)	           4(5.0)	           1(1.25)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
           4	          76(95.0)	           4(5.0)	           3(3.75)	           1(1.25)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
           5	          75(93.75)	           5(6.25)	           4(5.0)	           1(1.25)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
           6	          76(95.0)	           4(5.0)	           3(3.75)	           1(1.25)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
           7	          77(96.25)	           3(3.75)	           2(2.5)	           1(1.25)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
           8	          78(97.5)	           2(2.5)	           1(1.25)	           1(1.25)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
           9	          76(95.0)	           4(5.0)	           3(3.75)	           1(1.25)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
          10	          77(96.25)	           3(3.75)	           2(2.5)	           1(1.25)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
          11	          76(95.0)	           4(5.0)	           3(3.75)	           1(1.25)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
          12	          76(95.0)	           4(5.0)	           3(3.75)	           1(1.25)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
          13	          78(97.5)	           2(2.5)	           1(1.25)	           1(1.25)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
          14	          76(95.0)	           4(5.0)	           3(3.75)	           1(1.25)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
          15	          76(95.0)	           4(5.0)	           4(5.0)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
          16	          76(95.0)	           4(5.0)	           4(5.0)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
          17	          75(93.75)	           5(6.25)	           4(5.0)	           1(1.25)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
          18	          76(95.0)	           4(5.0)	           3(3.75)	           1(1.25)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
          19	          76(95.0)	           4(5.0)	           3(3.75)	           1(1.25)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
          20	          76(95.0)	           4(5.0)	           3(3.75)	           1(1.25)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)


4.2 Number of violated models for each restraint
------------------------------------------------

	Restraint ID             	No. of Violated Models   	Average Violation(A)     	Violated Models          

	2                        	8                        	0.7186                   	3,4,5,6,9,14,15,17       
	5                        	1                        	0.1387                   	12                       
	9                        	2                        	0.4714                   	6,10                     
	14                       	1                        	0.2958                   	17                       
	29                       	1                        	0.1824                   	11                       
	32                       	20                       	6.9348                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	34                       	3                        	0.9433                   	3,17,18                  
	36                       	19                       	1.7238                   	1,2,3,4,5,6,7,8,10,11,12,13,14,15,16,17,18,19,20
	39                       	2                        	2.2116                   	4,16                     
	43                       	1                        	1.4188                   	14                       
	48                       	5                        	1.0607                   	5,9,16,19,20             
	70                       	11                       	1.4132                   	2,3,5,7,9,11,12,15,18,19,20

4.3 Angle restraint violations summary
--------------------------------------

	Number of consistently violated restraints (violated in all models)     =     1 (1.25%)
	Number of violated restraints (at least in one model)                   =    12 (15.0%)
	Number of non violated restraints                                       =    68 (85.0%)
	Total number of restraints                                              =    80 (100.0%)


4.4 List of largest 10 angle violations
---------------------------------------

	Restraint ID                  	Model ID                      	|Exp. value - Model value|A   

	32                            	9                             	9.5365                        
	32                            	3                             	8.6952                        
	32                            	2                             	8.4261                        
	32                            	14                            	7.7992                        
	32                            	7                             	7.7973                        
	32                            	1                             	7.4902                        
	32                            	18                            	7.4762                        
