	3420                     	1                        	0.0628                   	2                        
	3421                     	1                        	0.0529                   	15                       
	3438                     	3                        	0.0933                   	2,8,14                   
	3440                     	3                        	0.0576                   	1,4,15                   
	3445                     	5                        	0.05                     	2,8,16,18,20             
	3457                     	11                       	0.0868                   	2,3,5,6,7,9,10,11,12,13,14
	3459                     	12                       	0.146                    	1,5,9,11,13,14,15,16,17,18,19,20
	3460                     	2                        	0.0511                   	5,19                     
	3461                     	2                        	0.1017                   	12,17                    
	3470                     	3                        	0.0786                   	1,4,8                    
	3472                     	1                        	0.0737                   	5                        
	3485                     	1                        	0.1195                   	19                       
	3496                     	2                        	0.0262                   	7,10                     
	3497                     	1                        	0.1368                   	10                       
	3513                     	1                        	0.0042                   	13                       
	3530                     	2                        	0.0178                   	8,19                     
	3537                     	2                        	0.1129                   	6,14                     
	3571                     	6                        	0.0422                   	6,7,8,9,13,18            
	3573                     	1                        	0.0297                   	5                        
	3585                     	3                        	0.0493                   	8,14,15                  
	3612                     	2                        	0.0732                   	6,10                     
	3623                     	2                        	0.1312                   	3,16                     
	3628                     	4                        	0.0604                   	6,11,12,14               
	3635                     	1                        	0.027                    	18                       
	3637                     	1                        	0.0501                   	18                       
	3656                     	1                        	0.1554                   	18                       
	3660                     	1                        	0.0547                   	12                       
	3674                     	1                        	0.1561                   	15                       
	1                        	3                        	0.0125                   	14,17,19                 
	5                        	10                       	0.0468                   	1,2,3,4,7,12,13,15,17,18 
	6                        	1                        	0.0059                   	17                       
	7                        	3                        	0.0286                   	2,10,12                  
	9                        	14                       	0.0647                   	1,5,6,7,8,9,10,11,14,15,17,18,19,20
	11                       	7                        	0.0346                   	2,3,10,13,15,16,17       
	13                       	5                        	0.0315                   	2,3,4,15,20              
	19                       	13                       	0.0479                   	1,2,3,5,6,7,10,11,13,14,15,16,20
	21                       	12                       	0.0377                   	1,2,4,6,9,11,14,16,17,18,19,20
	23                       	9                        	0.0523                   	2,4,5,8,12,13,17,19,20   
	25                       	4                        	0.026                    	7,10,14,18               
	27                       	15                       	0.0262                   	2,4,6,7,9,10,11,12,13,14,15,16,17,19,20
	29                       	9                        	0.0309                   	1,3,6,8,9,12,15,16,20    
	31                       	1                        	0.0077                   	4                        
	35                       	13                       	0.0333                   	1,3,4,6,8,9,10,12,13,14,15,16,19
	37                       	8                        	0.0319                   	6,9,10,15,16,17,19,20    
	42                       	3                        	0.0105                   	1,7,17                   
	43                       	5                        	0.0114                   	2,3,4,11,16              
	45                       	2                        	0.0192                   	2,16                     
	47                       	1                        	0.0038                   	10                       
	49                       	15                       	0.0188                   	1,2,4,6,8,9,10,12,13,14,15,16,17,19,20
	51                       	4                        	0.0074                   	5,7,9,15                 
	55                       	2                        	0.0152                   	8,18                     

2.3 Distance restraint violations summary
-----------------------------------------

	                                                                 	Intrresidue         	Sequential          	Medium-range        	Long-range          	Total               

	Number of consistently violated restraints (violated in all models)	     0 (0.0%)       	     0 (0.0%)       	     0 (0.0%)       	     0 (0.0%)       	     0 (0.0%)       
	Number of violated restraints (at least in one model)            	    26 (0.69%)      	    38 (1.02%)      	    90 (2.4%)       	   128 (3.42%)      	   282 (7.53%)      
	Number of non violated restraints                                	  1054 (28.16%)     	   711 (19.0%)      	   734 (19.61%)     	   962 (25.7%)      	  3461 (92.47%)     
	Total number of restraints                                       	  1080 (28.85%)     	   749 (20.01%)     	   824 (22.01%)     	  1090 (29.12%)     	  3743 (100.0%)     


2.4 List of largest 10 distance violations
------------------------------------------

	Restraint ID                  	Model ID                      	|Exp. value - Model value|A   

	3459                          	16                            	0.31                          
	3232                          	5                             	0.3015                        
	1319                          	7                             	0.2843                        
	3459                          	15                            	0.2837                        
	358                           	9                             	0.2599                        
	1285                          	1                             	0.2525                        
	3278                          	17                            	0.2405                        
	1340                          	2                             	0.2306                        
	2108                          	20                            	0.2216                        
	2892                          	16                            	0.2191                        


2.5 List of largest 10 average distance violations
--------------------------------------------------

	Restraint ID                  	Number of Models              	|Exp. value - Model value|A   

	3232                          	1                             	0.3015                        
	1319                          	1                             	0.2843                        
	358                           	1                             	0.2599                        
	1285                          	1                             	0.2525                        
	3121                          	1                             	0.2149                        
	3278                          	3                             	0.1906                        
	2687                          	1                             	0.1726                        
	2108                          	2                             	0.1654                        
	2143                          	1                             	0.163                         
	1435                          	4                             	0.1564                        
========================================================================================================================

3. Angle restraints summary
---------------------------

	Total number of restraints                                    =   196 (100.0%)
	Torsion angle Name PHI                                        =    98 (50.0%)
	Torsion angle Name PSI                                        =    98 (50.0%)


4. Angle restraint violations
------------------------------

4.1 Number of violated restraints for each model
------------------------------------------------

       Model	Not Violated (%)	    Violated (%)	         0-5 (%)	        5-10 (%)	       10-20 (%)	       20-40 (%)	       40-80 (%)	         >80 (%)

           1	         176(89.8)	          20(10.2)	          20(10.2)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
           2	         182(92.86)	          14(7.14)	          12(6.12)	           2(1.02)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
           3	         186(94.9)	          10(5.1)	          10(5.1)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
           4	         184(93.88)	          12(6.12)	          12(6.12)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
           5	         188(95.92)	           8(4.08)	           8(4.08)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
           6	         182(92.86)	          14(7.14)	          13(6.63)	           1(0.51)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
           7	         180(91.84)	          16(8.16)	          15(7.65)	           1(0.51)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
           8	         183(93.37)	          13(6.63)	          11(5.61)	           2(1.02)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
           9	         185(94.39)	          11(5.61)	          11(5.61)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
          10	         182(92.86)	          14(7.14)	          14(7.14)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
          11	         187(95.41)	           9(4.59)	           7(3.57)	           2(1.02)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
          12	         184(93.88)	          12(6.12)	          12(6.12)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
          13	         181(92.35)	          15(7.65)	          15(7.65)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
          14	         185(94.39)	          11(5.61)	          11(5.61)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
          15	         184(93.88)	          12(6.12)	          12(6.12)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
          16	         186(94.9)	          10(5.1)	          10(5.1)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
          17	         182(92.86)	          14(7.14)	          14(7.14)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
